uniqueid,plotid,timestamp,Tile Flow (mm)
description,,Date and time of measurement,
units,,YYYY-MM-DD HH:MM:SS+-Z,
GILMORE,3.1,2011-05-10 01:00:00-05:00,0.0
GILMORE,14.1,2011-05-10 01:00:00-05:00,0.0
GILMORE,9.3,2011-05-10 01:00:00-05:00,0.0
GILMORE,7.3,2011-05-10 01:00:00-05:00,0.129723
GILMORE,16.2,2011-05-10 01:00:00-05:00,4.39302
GILMORE,17.1,2011-05-10 01:00:00-05:00,0.0
GILMORE,4.2,2011-05-10 01:00:00-05:00,0.0
GILMORE,12.3,2011-05-10 01:00:00-05:00,0.0
GILMORE,16.3,2011-05-10 01:00:00-05:00,7.6634
GILMORE,24.3,2011-05-10 01:00:00-05:00,0.0
GILMORE,17.3,2011-05-10 01:00:00-05:00,0.0
GILMORE,21.3,2011-05-16 01:00:00-05:00,0.0
GILMORE,11.2,2011-05-16 01:00:00-05:00,0.0
GILMORE,7.3,2011-05-16 01:00:00-05:00,0.0438912
GILMORE,12.3,2011-05-16 01:00:00-05:00,0.0
GILMORE,26.2,2011-05-16 01:00:00-05:00,0.0
GILMORE,17.1,2011-05-16 01:00:00-05:00,0.0
GILMORE,16.3,2011-05-16 01:00:00-05:00,10.29
GILMORE,11.1,2011-05-16 01:00:00-05:00,0.0
GILMORE,24.3,2011-05-16 01:00:00-05:00,0.0
GILMORE,17.3,2011-05-16 01:00:00-05:00,0.0
GILMORE,9.3,2011-05-16 01:00:00-05:00,0.0
GILMORE,12.2,2011-05-16 01:00:00-05:00,0.0
GILMORE,23.1,2011-05-16 01:00:00-05:00,0.0
GILMORE,19.2,2011-05-16 01:00:00-05:00,0.0
GILMORE,6.2,2011-05-16 01:00:00-05:00,0.0790042
GILMORE,22.3,2011-05-16 01:00:00-05:00,0.0
GILMORE,19.3,2011-05-16 01:00:00-05:00,0.0
GILMORE,22.1,2011-05-16 01:00:00-05:00,2.34867
GILMORE,3.1,2011-05-16 01:00:00-05:00,9.39759
GILMORE,3.2,2011-05-16 01:00:00-05:00,3.48106
GILMORE,16.2,2011-05-16 01:00:00-05:00,0.655442
GILMORE,4.1,2011-05-16 01:00:00-05:00,0.0
GILMORE,14.1,2011-05-16 01:00:00-05:00,0.0
GILMORE,4.2,2011-05-16 01:00:00-05:00,0.0
GILMORE,6.2,2011-05-25 01:00:00-05:00,11.5317
GILMORE,12.3,2011-05-25 01:00:00-05:00,11.9238
GILMORE,19.3,2011-05-25 01:00:00-05:00,0.452567
GILMORE,17.3,2011-05-25 01:00:00-05:00,2.59056
GILMORE,4.2,2011-05-25 01:00:00-05:00,2.0268
GILMORE,24.3,2011-05-25 01:00:00-05:00,0.0
GILMORE,17.1,2011-05-25 01:00:00-05:00,10.8538
GILMORE,22.1,2011-05-25 01:00:00-05:00,13.8501
GILMORE,16.3,2011-05-25 01:00:00-05:00,38.862
GILMORE,3.2,2011-05-25 01:00:00-05:00,24.2474
GILMORE,3.1,2011-05-25 01:00:00-05:00,28.2708
GILMORE,16.2,2011-05-25 01:00:00-05:00,24.0972
GILMORE,7.3,2011-05-25 01:00:00-05:00,22.9112
GILMORE,9.3,2011-05-25 01:00:00-05:00,19.0975
GILMORE,19.2,2011-05-25 01:00:00-05:00,11.2361
GILMORE,21.3,2011-05-25 01:00:00-05:00,0.857341
GILMORE,26.2,2011-05-25 01:00:00-05:00,11.4302
GILMORE,11.2,2011-05-25 01:00:00-05:00,19.0244
GILMORE,22.3,2011-05-25 01:00:00-05:00,4.4135
GILMORE,14.1,2011-05-25 01:00:00-05:00,0.0
GILMORE,4.1,2011-05-25 01:00:00-05:00,0.0
GILMORE,11.1,2011-05-25 01:00:00-05:00,21.2004
GILMORE,23.1,2011-05-25 01:00:00-05:00,0.0614477
GILMORE,12.2,2011-05-25 01:00:00-05:00,11.004
GILMORE,4.2,2011-05-31 01:00:00-05:00,63.3691
GILMORE,4.1,2011-05-31 01:00:00-05:00,23.9841
GILMORE,3.2,2011-05-31 01:00:00-05:00,39.116
GILMORE,14.1,2011-05-31 01:00:00-05:00,18.9698
GILMORE,3.1,2011-05-31 01:00:00-05:00,42.4477
GILMORE,26.2,2011-05-31 01:00:00-05:00,32.104
GILMORE,11.2,2011-05-31 01:00:00-05:00,35.389
GILMORE,24.3,2011-05-31 01:00:00-05:00,0.0
GILMORE,23.1,2011-05-31 01:00:00-05:00,11.0391
GILMORE,22.3,2011-05-31 01:00:00-05:00,26.8224
GILMORE,9.3,2011-05-31 01:00:00-05:00,39.116
GILMORE,22.1,2011-05-31 01:00:00-05:00,25.7768
GILMORE,21.3,2011-05-31 01:00:00-05:00,27.4739
GILMORE,19.3,2011-05-31 01:00:00-05:00,42.3111
GILMORE,19.2,2011-05-31 01:00:00-05:00,27.3198
GILMORE,17.3,2011-05-31 01:00:00-05:00,30.6039
GILMORE,17.1,2011-05-31 01:00:00-05:00,31.27
GILMORE,12.3,2011-05-31 01:00:00-05:00,49.1191
GILMORE,12.2,2011-05-31 01:00:00-05:00,27.0136
GILMORE,16.3,2011-05-31 01:00:00-05:00,39.116
GILMORE,16.2,2011-05-31 01:00:00-05:00,39.0924
GILMORE,11.1,2011-05-31 01:00:00-05:00,42.7266
GILMORE,6.2,2011-05-31 01:00:00-05:00,36.8949
GILMORE,7.3,2011-05-31 01:00:00-05:00,17.7418
GILMORE,19.2,2011-06-09 01:00:00-05:00,0.0292608
GILMORE,12.2,2011-06-09 01:00:00-05:00,0.0
GILMORE,19.3,2011-06-09 01:00:00-05:00,0.0
GILMORE,3.1,2011-06-09 01:00:00-05:00,17.0698
GILMORE,17.1,2011-06-09 01:00:00-05:00,0.860268
GILMORE,4.2,2011-06-09 01:00:00-05:00,0.0
GILMORE,24.3,2011-06-09 01:00:00-05:00,0.0
GILMORE,16.2,2011-06-09 01:00:00-05:00,8.69046
GILMORE,4.1,2011-06-09 01:00:00-05:00,0.0
GILMORE,16.3,2011-06-09 01:00:00-05:00,5.334
GILMORE,26.2,2011-06-09 01:00:00-05:00,0.0
GILMORE,6.2,2011-06-09 01:00:00-05:00,2.23357
GILMORE,11.2,2011-06-09 01:00:00-05:00,0.865144
GILMORE,9.3,2011-06-09 01:00:00-05:00,0.112166
GILMORE,11.1,2011-06-09 01:00:00-05:00,0.472074
GILMORE,22.1,2011-06-09 01:00:00-05:00,3.72197
GILMORE,21.3,2011-06-09 01:00:00-05:00,0.0
GILMORE,14.1,2011-06-09 01:00:00-05:00,0.0
GILMORE,7.3,2011-06-09 01:00:00-05:00,0.0390144
GILMORE,22.3,2011-06-09 01:00:00-05:00,0.0
GILMORE,12.3,2011-06-09 01:00:00-05:00,0.0
GILMORE,3.2,2011-06-09 01:00:00-05:00,8.50709
GILMORE,23.1,2011-06-09 01:00:00-05:00,0.0
GILMORE,17.3,2011-06-09 01:00:00-05:00,0.0
GILMORE,17.1,2011-06-14 01:00:00-05:00,0.0
GILMORE,19.3,2011-06-14 01:00:00-05:00,0.0
GILMORE,9.3,2011-06-14 01:00:00-05:00,0.0
GILMORE,21.3,2011-06-14 01:00:00-05:00,0.0
GILMORE,4.1,2011-06-14 01:00:00-05:00,0.0
GILMORE,22.1,2011-06-14 01:00:00-05:00,1.9
GILMORE,22.3,2011-06-14 01:00:00-05:00,0.0292608
GILMORE,23.1,2011-06-14 01:00:00-05:00,0.0
GILMORE,14.1,2011-06-14 01:00:00-05:00,0.0
GILMORE,12.2,2011-06-14 01:00:00-05:00,0.0
GILMORE,11.1,2011-06-14 01:00:00-05:00,0.0
GILMORE,16.3,2011-06-14 01:00:00-05:00,12.954
GILMORE,24.3,2011-06-14 01:00:00-05:00,0.0
GILMORE,11.2,2011-06-14 01:00:00-05:00,0.0
GILMORE,16.2,2011-06-14 01:00:00-05:00,0.195072
GILMORE,26.2,2011-06-14 01:00:00-05:00,0.0
GILMORE,3.1,2011-06-14 01:00:00-05:00,7.49954
GILMORE,3.2,2011-06-14 01:00:00-05:00,2.75344
GILMORE,7.3,2011-06-14 01:00:00-05:00,0.0
GILMORE,6.2,2011-06-14 01:00:00-05:00,0.0
GILMORE,4.2,2011-06-14 01:00:00-05:00,0.0409651
GILMORE,19.2,2011-06-14 01:00:00-05:00,0.0
GILMORE,12.3,2011-06-14 01:00:00-05:00,0.0
GILMORE,17.3,2011-06-14 01:00:00-05:00,0.0
GILMORE,12.2,2011-06-22 01:00:00-05:00,118.364
GILMORE,17.3,2011-06-22 01:00:00-05:00,118.364
GILMORE,3.1,2011-06-22 01:00:00-05:00,118.364
GILMORE,7.3,2011-06-22 01:00:00-05:00,52.7085
GILMORE,22.3,2011-06-22 01:00:00-05:00,96.4436
GILMORE,19.2,2011-06-22 01:00:00-05:00,77.4826
GILMORE,3.2,2011-06-22 01:00:00-05:00,118.364
GILMORE,9.3,2011-06-22 01:00:00-05:00,118.364
GILMORE,4.2,2011-06-22 01:00:00-05:00,118.364
GILMORE,22.1,2011-06-22 01:00:00-05:00,67.6071
GILMORE,6.2,2011-06-22 01:00:00-05:00,118.364
GILMORE,19.3,2011-06-22 01:00:00-05:00,118.364
GILMORE,21.3,2011-06-22 01:00:00-05:00,111.359
GILMORE,11.1,2011-06-22 01:00:00-05:00,118.364
GILMORE,11.2,2011-06-22 01:00:00-05:00,118.364
GILMORE,12.3,2011-06-22 01:00:00-05:00,118.364
GILMORE,24.3,2011-06-22 01:00:00-05:00,0.0
GILMORE,14.1,2011-06-22 01:00:00-05:00,118.364
GILMORE,16.2,2011-06-22 01:00:00-05:00,87.4898
GILMORE,4.1,2011-06-22 01:00:00-05:00,118.364
GILMORE,16.3,2011-06-22 01:00:00-05:00,118.364
GILMORE,23.1,2011-06-22 01:00:00-05:00,50.2291
GILMORE,17.1,2011-06-22 01:00:00-05:00,83.245
GILMORE,26.2,2011-06-22 01:00:00-05:00,0.0
GILMORE,22.1,2011-06-27 01:00:00-05:00,41.1748
GILMORE,11.2,2011-06-27 01:00:00-05:00,50.038
GILMORE,12.2,2011-06-27 01:00:00-05:00,50.038
GILMORE,12.3,2011-06-27 01:00:00-05:00,50.038
GILMORE,14.1,2011-06-27 01:00:00-05:00,50.038
GILMORE,16.2,2011-06-27 01:00:00-05:00,89.2893
GILMORE,16.3,2011-06-27 01:00:00-05:00,50.038
GILMORE,17.1,2011-06-27 01:00:00-05:00,48.6802
GILMORE,17.3,2011-06-27 01:00:00-05:00,50.038
GILMORE,19.2,2011-06-27 01:00:00-05:00,46.9733
GILMORE,19.3,2011-06-27 01:00:00-05:00,50.038
GILMORE,21.3,2011-06-27 01:00:00-05:00,76.1561
GILMORE,22.3,2011-06-27 01:00:00-05:00,66.7536
GILMORE,23.1,2011-06-27 01:00:00-05:00,27.7295
GILMORE,24.3,2011-06-27 01:00:00-05:00,0.0
GILMORE,26.2,2011-06-27 01:00:00-05:00,1.6386
GILMORE,3.1,2011-06-27 01:00:00-05:00,50.038
GILMORE,3.2,2011-06-27 01:00:00-05:00,50.038
GILMORE,4.1,2011-06-27 01:00:00-05:00,50.038
GILMORE,4.2,2011-06-27 01:00:00-05:00,50.038
GILMORE,6.2,2011-06-27 01:00:00-05:00,50.038
GILMORE,7.3,2011-06-27 01:00:00-05:00,40.1848
